round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
50,0.010233266455671823,0.010233265,0.012146080301346764,0.012146081,100,0.2,50,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.016063436510934594,0.016063435,1.8214030529924403,1.8214033,10,0,50,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,1.9376175984130917,1.9376177,117.76404571533203,117.764046,300,0,50,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,1.8743966733655966,1.8743968,0.37427627724527524,0.37427628,100,0.2,50,50,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.0032861415308910566,0.0032861414,0.028037797659635544,0.028037798,300,0,50,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.0006057022528490918,0.0006057023,0.0027851169390776596,0.002785117,20,0,100,50,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.14718880158153166,0.1471888,0.2182587832212448,0.21825878,300,0.2,10,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.22050155563536186,0.2205016,0.2967433558394577,0.2967434,10,0,30,50,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.0023263519548475187,0.002326352,0.006553697865456343,0.006553698,300,0,30,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.0069350783975421,0.0069350787,0.002340150394535543,0.0023401503,50,0.2,50,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.5388817408270995,0.5388818,10.957647209925367,10.957647,100,0,30,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.043754150751687336,0.04375415,0.03650771806769024,0.036507722,100,0,30,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.40542540307326386,0.40542537,0.4202964343377297,0.42029643,10,0,10,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.00431788025500052,0.0043178806,0.012252042285900638,0.012252043,20,0,100,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.0029847879026805267,0.0029847878,0.03423817214630822,0.03423817,50,0,50,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,11.606465212031368,11.606465,67.84768676757812,67.84769,300,0,10,50,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.05952002283975094,0.059520014,0.25459862031684016,0.25459862,100,0.2,50,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.00030348532193523854,0.0003034853,0.05137450248003006,0.051374502,300,0,100,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.0015186316400357838,0.0015186315,0.0035140366346951358,0.003514036,10,0,10,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.3170615681637508,0.3170615,0.20662524457404155,0.20662525,100,0.2,50,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.0025709628657226667,0.002570963,0.010288005694746971,0.010288006,300,0,30,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.04233448956591046,0.04233449,0.04829164559872735,0.048291646,10,0.2,10,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.011272738478233048,0.011272738,0.023414481431245804,0.023414481,300,0.2,100,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.07567035032914031,0.07567035,0.28380751629538886,0.28380752,50,0.2,30,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.0012151163805373096,0.0012151162,0.00843643049542971,0.00843643,20,0,50,20,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.030169995245437196,0.030170001,0.1910762737893703,0.19107628,20,0.2,100,50,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.2977303242151622,0.29773033,12.643158912658691,12.643159,300,0.2,50,20,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.04027869374937894,0.040278703,0.037227372930304994,0.037227374,10,0,30,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.03864621996297934,0.038646217,0.2987332847339428,0.2987333,20,0,10,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.03856088553441058,0.03856089,0.09585841889462329,0.095858425,20,0,10,50,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,29.123303187380937,29.123304,9.434091029380332,9.434091,20,0.2,10,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,2.3344405672364075,2.3344407,2.5953845977783203,2.5953846,300,0,50,50,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.0013423989748506076,0.0013423989,0.00520433619347037,0.0052043363,20,0.2,50,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.007848316148359702,0.007848316,0.01453150806652493,0.014531506,10,0.2,50,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.02053338292636476,0.020533383,0.08967719474091929,0.08967719,50,0,100,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.2645044426492599,0.26450446,7.50168702440546,7.501687,50,0,30,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.20407399917402233,0.20407401,0.4990631639957428,0.49906316,300,0,50,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,236.28108425211286,236.28108,1658.3485107421875,1658.3485,300,0,10,128,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.1347489121844334,0.1347489,0.2947125035208582,0.29471248,100,0,100,50,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.006307902842302215,0.0063079013,0.0023679932350542787,0.0023679931,10,0,10,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.002686614112679234,0.002686614,0.014397030953003327,0.014397031,20,0,50,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
