round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
30,0.0015888153340119038,0.0015888152,0.007061155910110649,0.007061156,10,0,30,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.0001578463921130531,0.00015784639,0.0005782944465275196,0.00057829445,100,0,30,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.0632230855273274,0.06322308,1.1799735742456772,1.1799737,20,0.2,100,20,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.05585082043563166,0.05585082,0.22924688370788798,0.22924688,100,0.2,30,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.05884231153405831,0.058842316,0.23453037353122935,0.23453037,50,0,30,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.026381196757325153,0.026381196,0.004953721538186073,0.0049537215,300,0,10,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.028088868472757926,0.02808887,2.2765309810638428,2.276531,300,0.2,100,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.05712690465480002,0.057126902,0.6466143727302551,0.6466144,300,0,100,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.00023794801569648928,0.00023794801,0.0015101539423031842,0.001510154,100,0.2,30,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.0028555256244931315,0.0028555256,0.1267781673985369,0.12677817,100,0,30,50,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.00026027487106641746,0.0002602749,0.030445054173469543,0.030445054,300,0,100,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.035335755631152835,0.035335757,0.43031199188793406,0.43031198,100,0.2,30,20,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.06249000052743949,0.062490027,0.11453210189938545,0.11453209,10,0,30,20,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.0723902492338786,0.07239025,1.686236023902893,1.686236,300,0,10,128,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.00043470130371229583,0.0004347013,0.018313478835967973,0.018313479,50,0.2,100,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.0013482850603571523,0.0013482852,0.08027608451255433,0.08027608,20,0,50,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.0008295370968302119,0.00082953705,0.00286539550528259,0.002865395,10,0.2,100,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.06543727236037905,0.06543728,0.08479325895142906,0.08479326,10,0.2,100,50,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.05552379341244348,0.055523798,27.52745819091797,27.527458,300,0,100,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.002440350087739519,0.00244035,0.004014175125014256,0.004014175,50,0,30,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.02732740803635365,0.027327405,0.177615967743537,0.17761596,100,0.2,10,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.0003784020406631357,0.00037840207,0.0007619522648918279,0.0007619523,20,0,10,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.0016780901177754883,0.0016780903,0.0013933369259843055,0.0013933368,50,0.2,10,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.0006376108488324371,0.00063761085,0.003104493802632479,0.0031044942,10,0,50,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.06869802861802192,0.06869803,0.22201285160639705,0.22201285,10,0.2,50,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.24226524940858488,0.24226522,0.7752830386161804,0.7752831,100,0,10,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.057251311303321215,0.05725131,0.22009086696540608,0.22009087,100,0.2,10,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.00016369911645063885,0.00016369911,0.0009609355782980428,0.00096093555,100,0.2,100,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.04226348863756202,0.042263485,0.22191129668670542,0.22191131,10,0.2,10,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.0009387210419447956,0.000938721,0.07253087311983109,0.07253087,300,0.2,50,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.030675050996440596,0.030675052,0.1985337041756686,0.1985337,100,0,30,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.0293051918908473,0.02930519,0.13550431325155146,0.13550432,50,0.2,10,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.06134137489404147,0.06134138,0.2554215341806412,0.25542152,20,0,100,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.0023977019524685163,0.002397701,0.0021138190858276656,0.002113819,10,0.2,50,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.0006141043161885278,0.0006141044,2.164599056752837,2.164599,20,0.2,50,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.05576138709647215,0.05576139,22.39032745361328,22.390327,300,0,30,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.038017188933544145,0.038017187,1.8977528354700874,1.8977529,100,0,10,50,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.0015862777849568513,0.001586278,0.011091612573877415,0.011091613,20,0.2,50,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.05700493986305953,0.05700494,41.56281099249335,41.56281,100,0.2,30,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.08542342577675832,0.085423425,0.6768969577901504,0.676897,10,0,100,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.00029184004092859403,0.00029184003,0.016146761681953007,0.01614676,50,0.2,30,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.027449081359633254,0.027449083,2.2450571060180664,2.245057,300,0.2,50,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.002384824942540694,0.002384825,0.15851356631473584,0.15851358,20,0.2,100,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.05732562709763602,0.057325628,1.752029538154602,1.7520297,100,0,100,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.06762112358098855,0.06762114,0.44631030980278463,0.44631034,10,0,100,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.025897001776614845,0.025897,7.365644035970464,7.3656445,100,0,50,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.04996299182264205,0.049962986,1.6123219452360098,1.612322,10,0.2,10,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
