,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,30,0.0017412234940149011,0.0017412236193194985,0.0007814072208323827,0.0007814072305336595,100,0.2,30,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
1,100,0.00020974041101223242,0.00020974040671717376,0.024031275883316994,0.024031275883316994,300,0.2,100,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
2,30,0.002460045430935077,0.0024600455071777105,2.290329772845975,2.290329694747925,50,0.0,30,20,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
3,10,7.882332834903364,7.882333755493164,45.577632904052734,45.577632904052734,300,0.0,10,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
4,100,0.06496663919476335,0.06496662646532059,0.22097276683364594,0.22097279131412506,10,0.0,100,20,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
5,100,0.0003142606730438856,0.0003142606292385608,0.001324477311711581,0.0013244772562757134,20,0.2,100,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
6,100,0.015183193499711992,0.015183193609118462,10.83328786945813,10.833287239074707,50,0.2,100,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
7,100,0.06279659458325298,0.06279658526182175,1.6466731040605478,1.6466730833053589,20,0.2,100,20,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
8,50,0.000189482118270176,0.00018948213255498558,0.0009649624442404491,0.0009649624116718769,50,0.2,50,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
9,30,0.0013885800377978626,0.0013885799562558532,0.008203208446502686,0.008203208446502686,300,0.2,30,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,50,0.02405921202125616,0.02405921183526516,2.659330837694662,2.6593308448791504,50,0.2,50,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
