round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
100,0.07552818869200922,0.0755282,1.2579354995063372,1.2579354,20,0,100,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.7876621469001938,0.7876622,30.717378616333008,30.717379,300,0.2,10,50,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.5211852973931511,0.5211852,5.628545024033103,5.6285453,50,0,50,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.050540644257013496,0.050540637,2.0621919939737943,2.0621922,50,0.2,10,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.12562174598375955,0.12562175,34.12164749417986,34.121647,100,0,10,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.014194996120810247,0.014194995,4.061367034912109,4.061367,300,0,50,128,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.004739807413517609,0.004739807,0.03136325755067879,0.031363256,20,0,100,128,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.0022053642936253294,0.0022053642,1.5617906034943492,1.5617907,50,0.2,100,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.015223259425608553,0.015223261,4.766413569389399,4.766413,20,0.2,100,50,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.03243188510776091,0.032431886,2.2146406173706055,2.2146406,300,0.2,50,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.012603914040371929,0.012603911,2.4335515431704975,2.4335515,20,0,30,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.03133106514026524,0.031331062,3.5455625390722636,3.5455623,50,0,50,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.0006383624980099658,0.00063836254,0.23523587285585346,0.23523587,50,0.2,100,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.03169379810352704,0.031693798,0.5191752759828454,0.51917523,20,0,100,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.0001089886463513576,0.00010898865,0.0011155994309644615,0.0011155994,100,0,100,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.01597128416447136,0.015971288,9.36970862255077,9.36971,20,0,10,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.00034424567453408676,0.0003442457,0.0006368823011317069,0.00063688227,20,0,50,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.06705263870796968,0.06705264,2.349416732788086,2.3494167,300,0.2,30,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.0029870516854518187,0.0029870523,0.011599434839029397,0.011599435,20,0.2,10,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.005169808830745879,0.0051698084,0.3211832046508789,0.3211832,300,0.2,50,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.024177225249191737,0.024177227,0.08473039365240506,0.084730394,100,0.2,10,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.0014065397752376434,0.0014065397,0.02094581851547229,0.02094582,50,0,10,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.00873870294262134,0.008738702,0.17994120717048645,0.1799412,300,0.2,100,20,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.001113822926085004,0.0011138226,0.0023094335582365083,0.0023094337,10,0.2,30,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.0005531646027723765,0.0005531648,0.002037998152705508,0.0020379978,10,0,100,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.06673387950081132,0.06673389,0.41518812874952954,0.41518816,20,0.2,100,20,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
