round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
10,0.003938337935171693,0.003938338,0.15354691454142863,0.15354691,10,0,10,50,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.17772909565644118,0.1777291,2.735295057296753,2.735295,300,0,10,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.09338428572411055,0.09338428,0.17141349613666534,0.1714135,300,0,100,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,3.8219490938774814,3.8219488,6.678491592407227,6.6784916,300,0.2,10,50,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.01914829438040785,0.019148296,2.23502717202618,2.235027,100,0,50,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.0006030290191034529,0.0006030289,0.0023163231283736727,0.002316323,20,0,100,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.01128219236536348,0.011282194,0.02753843925338948,0.027538441,10,0.2,30,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.010382003855184486,0.010382004,0.5549500142224133,0.55495,50,0,100,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.013073499073792747,0.013073499,0.5288244126076322,0.5288244,20,0,50,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.018486314771830947,0.018486312,6.6009974846439,6.600997,50,0.2,30,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.061124181520554856,0.061124183,145.53715610912158,145.53716,10,0.2,100,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.023029652157478396,0.023029651,2.404305934906006,2.404306,300,0.2,100,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.020124193975666373,0.020124193,2.0574969833805445,2.057497,50,0,30,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.0419907603199524,0.04199076,0.6718634366989136,0.67186344,300,0,10,20,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,2.3155907621817793,2.3155906,96.05209995451428,96.0521,100,0,50,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.0003893910243130879,0.0003893911,0.0018885413952548767,0.0018885416,10,0.2,10,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.0554649681071703,0.055464983,4.197409019228958,4.197409,10,0,30,20,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.01919293275072886,0.019192932,0.29045997134276796,0.29045996,100,0,100,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.00022531584872441604,0.00022531585,0.001820083901596566,0.0018200839,100,0.2,100,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.028589237795899267,0.028589232,0.44821814199288684,0.44821808,20,0,30,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.00035428790781249,0.00035428788,0.0031153393515740476,0.0031153392,100,0,100,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.009887286104951137,0.0098872855,0.07704237786432107,0.07704238,50,0.2,30,20,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.015858126147793777,0.015858129,3.3023126134205434,3.3023126,100,0.2,30,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.016191618908169336,0.016191624,0.054125835021425574,0.054125838,20,0,10,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.03519940131484762,0.035199396,0.1084173269835966,0.10841733,10,0,10,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.04032980129204789,0.0403298,0.19120857382326253,0.19120859,10,0,10,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.0003856092194989652,0.00038560922,0.002190984319895506,0.0021909843,300,0,100,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.06507825275552125,0.06507824,35.403698627615256,35.403694,10,0.2,50,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.16837865162350882,0.16837867,0.38908817938395907,0.38908818,100,0,50,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.00036229740125424584,0.00036229746,0.0025667189024499663,0.002566719,20,0,100,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.0030209801290403075,0.0030209797,0.0039076844557365846,0.0039076842,50,0,50,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.005092865255457539,0.0050928653,0.2556500204262279,0.25565,100,0.2,100,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.00018837982320285535,0.00018837982,0.0010284896166662552,0.0010284897,100,0,30,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.00952641734741929,0.009526418,0.0571420829607329,0.057142086,10,0.2,10,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.007377391036944505,0.007377391,1.2748788595199585,1.2748789,300,0.2,30,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.011319395484985366,0.011319397,2.1699279291289195,2.1699278,20,0.2,30,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.0008789794278507519,0.00087897945,0.015704984886161538,0.015704986,20,0,10,50,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.003777363987177304,0.0037773647,0.05405157185686264,0.054051574,20,0,30,20,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.03273311273226304,0.032733113,0.1516492570794764,0.15164925,100,0,10,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.0743998628617066,0.074399866,24.236142551763415,24.236143,10,0.2,100,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.0035641992549451614,0.0035641992,0.005248563497194222,0.005248564,100,0,100,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.008631757004446352,0.0086317565,0.007633309911138245,0.00763331,100,0.2,10,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.037508661706935995,0.03750866,0.041754952676239465,0.041754954,20,0,30,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.057943979856693535,0.057943974,67.58345362091703,67.58346,10,0,50,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.006897861966740192,0.0068978625,0.0685874364959697,0.06858744,50,0,50,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.00030391777604209773,0.0003039178,0.0012331419136552583,0.0012331419,100,0.2,50,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.17940263607691037,0.17940263,0.5436533689498901,0.54365337,300,0,100,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.05947072266531963,0.059470728,0.29815299134878887,0.29815298,20,0.2,100,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.15557075914394838,0.15557075,89.26089922587077,89.2609,100,0.2,10,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.00038748888020694635,0.0003874887,0.0007067350759046219,0.00070673507,10,0.2,50,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.003214266632236376,0.0032142673,0.049290832886028854,0.049290832,50,0,30,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.02185857636791144,0.021858577,0.1805151200276755,0.18051513,50,0.2,50,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.015118529515480417,0.01511853,0.053878175360815864,0.05387817,100,0.2,50,50,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
