,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,30,0.0004991817400236066,0.0004991817404516041,0.005115419440392226,0.005115420091897249,20,0.0,30,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
1,30,0.004357134099871687,0.004357134457677603,0.06292287426922157,0.0629228726029396,20,0.0,30,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
2,10,0.08309957464499508,0.08309957385063171,0.992740216025387,0.9927402138710022,100,0.2,10,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
3,10,0.009516592127243605,0.00951659306883812,0.16400362510256558,0.1640036255121231,50,0.0,10,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
4,100,0.0011345457443145707,0.0011345457751303911,0.04354512691497803,0.04354512691497803,300,0.0,100,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
5,30,0.01289268175006488,0.012892684899270535,0.8019061955982393,0.8019061088562012,10,0.2,30,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
6,50,0.021826487561852178,0.0218264851719141,0.24551928671727696,0.24551929533481598,20,0.0,50,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
7,50,0.03714381884235669,0.03714381903409958,0.02584920399429568,0.025849204510450363,100,0.2,50,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
8,30,0.13559244025279493,0.13559243083000183,0.1665637493133545,0.1665637493133545,300,0.2,30,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
9,30,0.0002335596327611711,0.0002335596363991499,0.0012883630311902028,0.0012883630115538836,50,0.0,30,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,30,0.00413724233273088,0.004137242212891579,0.01691276773513037,0.01691276952624321,20,0.0,30,128,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
11,50,0.024151419323649916,0.02415141835808754,0.1254447122744049,0.12544472515583038,10,0.2,50,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
12,30,0.012228339773548,0.012228339910507202,0.011067604646086693,0.011067604646086693,300,0.2,30,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
13,10,0.2255066382315229,0.22550666332244873,0.6949066519737244,0.6949066519737244,300,0.0,10,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
14,30,0.007493322632987709,0.007493322249501944,0.013069019093267978,0.01306901965290308,10,0.2,30,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
15,100,0.0019033125546925208,0.0019033125136047602,0.005447749514132738,0.005447749514132738,300,0.2,100,50,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
16,10,0.07587878901840132,0.07587879151105881,0.30329919220453283,0.3032991886138916,50,0.2,10,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
17,10,8.931082367897034,8.931082725524902,11.26389177161527,11.26389217376709,100,0.2,10,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
18,50,0.002632341450354194,0.0026323413476347923,0.6998569764286638,0.6998569369316101,100,0.0,50,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
19,10,0.0016915340052304708,0.0016915341839194298,0.021385514781198812,0.021385515108704567,10,0.0,10,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
20,100,0.06655283017179874,0.06655283272266388,0.5465302155016506,0.5465302467346191,10,0.0,100,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
21,100,0.0017572949013008516,0.0017572948709130287,0.008449223396054143,0.008449223823845387,10,0.2,100,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
22,100,0.0240521948401104,0.024052193388342857,2.823396682739258,2.823396682739258,300,0.0,100,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
23,10,0.011480731668758808,0.011480728164315224,0.02896431084520307,0.028964312747120857,10,0.0,10,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
24,100,0.039004489587729466,0.03900448977947235,0.1441269603232483,0.14412695169448853,20,0.0,100,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
25,10,0.44309789029990926,0.44309791922569275,32.102723592735195,32.102725982666016,100,0.0,10,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
26,10,0.018179891432416353,0.01817990094423294,0.11178017743717296,0.11178018152713776,10,0.0,10,128,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
27,100,0.06372906171771534,0.06372907012701035,1.7222194565706943,1.722219467163086,10,0.0,100,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
28,50,0.0037562510080854684,0.0037562509533017874,0.006589137296141854,0.0065891374833881855,10,0.2,50,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
29,100,0.007608617203967536,0.007608617655932903,3.3314286728939377,3.3314285278320312,100,0.0,100,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,10,0.0008532275430351386,0.0008532274514436722,0.006057243606255177,0.0060572437942028046,20,0.2,10,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
31,30,0.0004414003194730921,0.0004414003633428365,0.0016979828900489282,0.0016979830106720328,20,0.2,30,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
32,100,0.011524607228827389,0.011524604633450508,0.01769948663212449,0.017699485644698143,50,0.2,100,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
33,100,0.016196560234461418,0.016196560114622116,0.03966231563364167,0.03966231644153595,100,0.2,100,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
34,10,0.0044510461431106225,0.0044510457664728165,0.00858945754098605,0.008589457720518112,100,0.0,10,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
35,50,0.003544837319435935,0.0035448377020657063,0.06545985517013504,0.06545986235141754,50,0.2,50,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
36,30,0.03258682345382541,0.03258682042360306,1.8665151536935962,1.866515040397644,50,0.0,30,50,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
37,100,0.06907751131802797,0.06907752901315689,0.5628248121005943,0.5628248453140259,10,0.0,100,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
38,100,0.009790449327898814,0.009790448471903801,0.7824670298989996,0.7824670076370239,100,0.0,100,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
39,50,0.005039163019425948,0.005039163399487734,0.04104567969958466,0.04104568064212799,100,0.2,50,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
40,100,0.033242024988045585,0.03324203938245773,21.816945963819702,21.816944122314453,10,0.2,100,128,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
41,10,0.04125457135138705,0.041254572570323944,0.3239740400788296,0.32397404313087463,50,0.0,10,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
42,50,0.010699137199587901,0.0106991371139884,0.012754251041550594,0.012754250317811966,50,0.2,50,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
43,50,0.0056522626648930945,0.0056522623635828495,1.9857889428196183,1.9857889413833618,100,0.2,50,50,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
44,10,0.0002642112434413695,0.0002642112667672336,0.0011807682461817805,0.001180768245831132,20,0.0,10,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
45,10,0.00038335421753371893,0.00038335422868840396,0.0008456280311402663,0.0008456280338577926,10,0.2,10,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
46,100,0.03678881349589895,0.036788810044527054,50.15150767349335,50.15150833129883,100,0.2,100,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
47,30,1.1259210109710693,1.1259211301803589,83.30175018310547,83.30175018310547,300,0.2,30,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
48,10,0.0003624797752897447,0.00036247973912395537,0.0024267429996461393,0.0024267430417239666,100,0.2,10,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
49,10,0.010020993502728422,0.010020993649959564,0.007285381117499018,0.007285380735993385,100,0.0,10,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,50,0.08482271914972979,0.08482271432876587,3.1619467735290527,3.1619467735290527,300,0.0,50,128,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
51,50,0.0003204456592999015,0.000320445658871904,0.0008939082035794854,0.0008939082035794854,300,0.0,50,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
52,50,0.014391748707138878,0.014391747303307056,0.24919645937092333,0.24919648468494415,50,0.0,50,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
53,30,0.0003821977670133278,0.0003821978170890361,0.005358655488185854,0.005358655471354723,20,0.2,30,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
