,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,10,7630.083948071561,7630.0849609375,3379.057373046875,3379.057373046875,300,0.2,10,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
1,100,0.019021229506002872,0.019021233543753624,0.04705759382957827,0.04705759137868881,10,0.2,100,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
2,100,0.001082604543693696,0.001082604518160224,0.007052958498875432,0.007052958477288485,100,0.0,100,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
3,30,0.004061356357811192,0.004061355255544186,0.01287425850943619,0.012874258682131767,20,0.0,30,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
4,50,5.458807667391894,5.458808898925781,32.56630536894135,32.566307067871094,10,0.2,50,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
5,100,1.3755180541024332,1.3755180835723877,61.972412109375,61.972412109375,300,0.0,100,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
6,100,0.0016238885439610366,0.0016238882672041655,0.006643880292810253,0.006643880158662796,20,0.0,100,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
7,100,0.24712962161431082,0.2471296191215515,3.694352153121241,3.694352149963379,100,0.0,100,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
8,100,0.014290860767535118,0.014290859922766685,0.6947726607322693,0.6947726607322693,300,0.2,100,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
9,100,0.0032300160969278625,0.0032300157472491264,0.00415787260997917,0.004157872870564461,100,0.0,100,50,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,10,137.46770251816534,137.4676971435547,4711.619428419909,4711.619140625,50,0.2,10,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
11,100,1.7011771530023738,1.7011771202087402,130.8707733154297,130.8707733154297,300,0.2,100,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
12,30,1.5066210501256043,1.5066211223602295,36.5830192565918,36.5830192565918,300,0.2,30,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
13,100,1.6983298160089007,1.6983298063278198,175.73054734286882,175.73056030273438,10,0.0,100,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
14,10,0.0025982717536805287,0.0025982719380408525,0.014418571755684765,0.014418572187423706,100,0.0,10,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
15,50,9.620433486970384,9.620433807373047,9.986110232523735,9.986109733581543,50,0.0,50,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
16,10,804.4434485453212,804.4434814453125,2772.595703125,2772.595703125,300,0.0,10,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
17,10,0.16739206957772762,0.1673920899629593,0.40181864630307584,0.4018186628818512,10,0.0,10,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
18,50,0.14534220503830111,0.14534221589565277,1.6223623752593994,1.6223623752593994,300,0.0,50,20,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
19,30,0.0007636202371603079,0.0007636202499270439,0.0043308114649732565,0.004330812022089958,50,0.0,30,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
20,100,0.09006531503342341,0.09006530791521072,0.13551748405821276,0.13551749289035797,10,0.2,100,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
21,100,149.75413121787145,149.7541046142578,158.01587221006685,158.01585388183594,10,0.2,100,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
22,10,0.024682529416059917,0.024682529270648956,0.06782681620772311,0.06782682240009308,50,0.0,10,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
