,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,100,0.01102041986274496,0.0110204191878438,0.503472286320868,0.5034722685813904,100,0.2,100,50,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
1,50,0.010505101179892796,0.010505101643502712,2.3393240592309406,2.3393239974975586,100,0.2,50,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
2,10,0.03375234697205555,0.03375234454870224,1.5129624087186087,1.5129623413085938,100,0.0,10,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
3,100,0.067111935391311,0.06711193919181824,6.566863628370421,6.5668625831604,10,0.2,100,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
4,10,0.1954387723086689,0.19543878734111786,2.181408643722534,2.181408643722534,300,0.0,10,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
5,10,0.0015356907312978447,0.0015356906224042177,0.004101323861894863,0.0041013238951563835,100,0.0,10,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
6,30,0.008946161216299943,0.008946161717176437,8.32573735281559,8.325736999511719,10,0.0,30,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
7,50,0.074593023042825,0.07459302991628647,0.22068665806381477,0.2206866443157196,10,0.0,50,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
8,10,0.008700550560327999,0.008700549602508545,0.01479731705504015,0.014797316864132881,10,0.2,10,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
9,100,0.016899993319047967,0.016899993643164635,0.03502778531540008,0.03502778336405754,100,0.2,100,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,100,0.0005757914969200821,0.0005757915205322206,0.009900693178808848,0.009900692850351334,50,0.2,100,50,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
11,30,0.018633534862398663,0.018633535131812096,0.0916275091280806,0.09162751585245132,50,0.0,30,50,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
12,50,0.0035457438351682194,0.0035457443445920944,0.00977111556788995,0.009771116077899933,50,0.2,50,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
13,100,0.0020282991237667624,0.002028299029916525,0.4880068962063108,0.4880068600177765,100,0.2,100,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
14,100,0.06185100557249745,0.06185101345181465,0.4392471411043689,0.4392470717430115,10,0.2,100,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
15,10,0.023151885108166154,0.023151880130171776,0.27315268062409903,0.2731526792049408,20,0.2,10,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
16,10,0.05201534494735771,0.05201535299420357,5.182451478072575,5.1824517250061035,100,0.0,10,50,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
17,30,0.2579088252415216,0.2579088509082794,180.41734313964844,180.41734313964844,300,0.2,30,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
18,50,0.03807569649644885,0.03807569667696953,14.70216178894043,14.70216178894043,300,0.2,50,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
19,10,0.04618824854296209,0.046188246458768845,4.573749895872814,4.573749542236328,50,0.2,10,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
20,100,0.0037313577768265677,0.003731358330696821,0.17563229125170482,0.1756322979927063,100,0.0,100,128,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
21,50,0.00043833277828611225,0.00043833281961269677,0.002176967149786097,0.0021769674494862556,20,0.2,50,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
22,10,0.007527310946524121,0.007527313660830259,0.4904949092056735,0.49049490690231323,10,0.2,10,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
23,100,0.28077202258295164,0.28077203035354614,0.014513072557747364,0.014513072557747364,300,0.2,100,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
24,50,0.0004898114839814301,0.0004898117040283978,0.001026898764913702,0.0010268987389281392,10,0.2,50,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
