round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
100,0.015695131550020225,0.015695134,0.01674692895238763,0.01674693,100,0.2,100,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,1.8750637754465567,1.8750637,35.141070915373746,35.141068,20,0.2,30,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.023452497298611142,0.0234525,0.04609257283787064,0.046092574,50,0,10,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.5310937343476874,0.5310938,19.172117442879454,19.17212,50,0.2,50,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,14.124050526813948,14.124053,200.4477113130077,200.44771,50,0.2,10,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.32208366553579565,0.32208365,6.496126035980831,6.496126,100,0,30,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.0002555344543734835,0.00025553443,0.0018888895653515116,0.0018888896,50,0,100,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.32433842460462153,0.32433844,6.748691558837891,6.7486916,300,0,50,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,8785495.091255184,8785497.0,12857270.187913908,12857271.0,10,0,100,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.05545089296913502,0.055450898,0.5792619155732212,0.57926196,100,0,50,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.04792537511807614,0.047925368,0.02926844111119477,0.029268442,10,0,30,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.04186815483197847,0.041868154,0.09967797036769967,0.099677965,10,0,100,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.002420452206575599,0.0024204524,0.12074337998368093,0.12074338,50,0.2,50,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.004825742790634747,0.004825743,0.07302424030082412,0.073024236,20,0,30,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.10153490617926679,0.101534896,0.1875799149891596,0.18757991,10,0.2,10,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.06293732923590561,0.062937334,0.16321026479566333,0.16321027,50,0.2,30,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.3907598555295773,0.39075986,0.558195225242217,0.55819523,10,0.2,100,20,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.024641709713798473,0.024641717,0.029404003456827033,0.029404003,20,0,50,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,6.257483151765561,6.2574835,26.09655047686684,26.09655,50,0,10,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.0966451428692137,0.09664514,3.722834825515747,3.7228348,300,0.2,100,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.018307560680911886,0.018307561,0.46307847301000793,0.46307847,50,0.2,100,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,52.81721237091327,52.817215,7.753118615671499,7.753119,20,0.2,50,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.09800926587617087,0.09800926,0.17837173703885237,0.17837173,50,0.2,10,20,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
