round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
30,0.18694303360055475,0.18694302,0.6106511354446411,0.61065114,300,0.2,30,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.0002769768862515989,0.0002769769,0.0015020569287105855,0.0015020568,20,0,10,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.02868568726048312,0.028685687,5.508539779897196,5.5085397,50,0.2,30,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.00039274800805929667,0.000392748,0.0020520430765148387,0.002052043,20,0.2,10,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.0022501527620239787,0.002250153,0.11041873035930007,0.11041874,50,0,100,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.005420993186228717,0.005420993,0.009627966445881918,0.009627966,20,0,100,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.003532068892929922,0.0035320688,0.0391417481678437,0.039141748,100,0,50,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.8776500053594217,0.8776499,0.14032150679324046,0.14032151,50,0.2,10,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,2.3062884439440334,2.3062885,96.24077339631965,96.240776,100,0.2,10,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.00022174838528264766,0.00022174839,0.001622565142902916,0.001622565,50,0,50,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.07775783448425286,0.07775782,3.462920600570828,3.4629211,10,0,100,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.0079772612422376,0.007977261,0.015823628506567104,0.015823629,100,0.2,30,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.004929492167909355,0.0049294923,0.007241424173116684,0.007241424,300,0.2,30,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.020136064404676503,0.020136064,1.5265511940401721,1.5265512,50,0,30,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.1195539861698361,0.11955397,1.3984980999705303,1.3984982,100,0.2,10,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.006424404750920504,0.0064244047,0.3430516325043941,0.34305164,20,0,30,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.0005556296341370291,0.0005556296,0.04242018540793082,0.042420186,10,0,30,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.0002897134528372108,0.00028971344,0.001599432434886694,0.0015994324,300,0,100,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.2792319260975894,0.27923194,1.7468990030058895,1.746899,100,0,10,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.001891475888174575,0.0018914759,0.09401087133011904,0.094010875,50,0,30,20,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.03278969887041432,0.032789696,0.1394488621637764,0.13944887,50,0.2,50,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.0006426439435659524,0.0006426439,0.0009309974038294595,0.0009309974,50,0,30,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.057295476031654025,0.057295475,33.94429220223283,33.94429,100,0,30,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.003440142337828601,0.0034401424,0.179676648563178,0.17967665,50,0,50,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.00032536419509115685,0.00032536424,0.0030935890074953974,0.003093589,100,0.2,30,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.21330787544994725,0.21330795,1217.4221384188677,1217.4222,10,0.2,50,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.002920529938659028,0.00292053,0.006242424502116011,0.0062424247,100,0.2,30,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
