,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,50,0.0037126035701173046,0.0037126028910279274,0.01279029516258444,0.012790294364094734,10,0.2,50,128,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
1,30,2.8761232958899603,2.8761234283447266,6.641810417175293,6.641810417175293,300,0.2,30,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
2,30,0.004026010511356785,0.004026009701192379,0.007792182783864869,0.007792183198034763,20,0.0,30,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
3,50,0.007793386025285279,0.007793385535478592,0.0914406486763022,0.09144064784049988,20,0.0,50,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
4,30,0.01830669678747654,0.01830669678747654,0.2208733856678009,0.2208733856678009,300,0.0,30,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
5,50,0.004349581379857328,0.004349581431597471,0.22609999775886536,0.22609999775886536,300,0.0,50,20,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
6,10,0.03552382686865275,0.035523828119039536,0.1803407715394711,0.18034076690673828,10,0.2,10,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
7,30,37.37920464409722,37.37920379638672,1059.7979736328125,1059.7979736328125,300,0.0,30,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
8,10,0.20453194004518013,0.2045319527387619,0.6419881719809312,0.641988217830658,100,0.2,10,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
9,30,0.009446195293976754,0.00944619532674551,0.023321864189198002,0.023321865126490593,10,0.2,30,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,30,0.0018609494177831544,0.001860949327237904,0.017947671934962273,0.017947671934962273,300,0.0,30,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
11,50,0.003905276996212908,0.0039052770007401705,0.019961561168505188,0.019961558282375336,10,0.0,50,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
12,30,0.01851085494099944,0.01851085014641285,0.0637425964172834,0.06374258548021317,20,0.2,30,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
13,10,0.9388344000886988,0.9388344287872314,8.870369827136015,8.870369911193848,50,0.2,10,128,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
14,50,0.0007466823768077625,0.000746682402677834,0.007530043391176524,0.007530043367296457,100,0.2,50,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
15,100,0.17573505971166822,0.17573507130146027,0.47536179423332214,0.47536179423332214,300,0.0,100,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
16,30,0.01477777889619271,0.014777779579162598,0.022711987971352078,0.022711988538503647,20,0.0,30,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
17,100,0.008484209960119591,0.008484209887683392,0.1976494523636901,0.19764944911003113,20,0.0,100,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
18,30,6.081319914923774,6.081320285797119,13.905932426452637,13.905932426452637,300,0.0,30,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
19,10,6.88504987295579,6.885051250457764,4.202654479405819,4.2026543617248535,10,0.2,10,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
20,30,0.004025627281171856,0.004025626927614212,0.00950063465652653,0.009500633925199509,50,0.0,30,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
21,30,0.0373128022722624,0.03731280192732811,0.5015051062815846,0.5015051364898682,50,0.0,30,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
22,30,29.46405177646213,29.464054107666016,236.418701171875,236.418701171875,300,0.2,30,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
23,50,4.628210173712836,4.628210067749023,186.46507263183594,186.46507263183594,300,0.0,50,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
24,100,457.06053401805735,457.0605163574219,2815.657546312381,2815.657470703125,10,0.2,100,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
25,100,0.0070840721018612385,0.007084071636199951,0.011267577518876165,0.011267578229308128,50,0.0,100,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
26,50,0.02979577539695634,0.029795775189995766,0.13389690220355988,0.13389690220355988,300,0.2,50,20,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
27,10,0.10855175786548191,0.1085517480969429,0.08377709765082751,0.08377709984779358,20,0.2,10,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
28,100,0.06567374352641679,0.06567374616861343,0.9246166142133566,0.9246165752410889,10,0.2,100,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
29,30,0.016815118324356497,0.016815118491649628,0.11255225030562052,0.11255224049091339,10,0.2,30,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,10,0.4452572233147091,0.4452572464942932,2.364464292159447,2.364464282989502,100,0.2,10,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
31,100,0.0030041660432255377,0.0030041662976145744,0.011456311990817388,0.011456312611699104,100,0.2,100,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
32,30,0.02832990277696539,0.02832990325987339,0.05699731715214558,0.05699731782078743,50,0.2,30,20,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
33,50,0.2846337231221022,0.2846337556838989,1.2677410829525728,1.2677409648895264,50,0.2,50,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
34,30,0.18013300616984015,0.18013302981853485,0.17284859793308455,0.17284859716892242,10,0.2,30,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
35,30,0.0030476354942139653,0.0030476355459541082,0.015952233225107193,0.015952233225107193,300,0.2,30,50,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
36,100,0.0019524749661623327,0.0019524747040122747,0.06524606698598617,0.06524607539176941,20,0.0,100,128,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
37,30,0.09500042956184458,0.09500043094158173,0.03510318046961075,0.03510317951440811,100,0.2,30,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
