round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
100,0.08152789760518957,0.081527896,1.4073570431807103,1.4073571,100,0,100,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.021233062535800314,0.021233063,0.15298038959885255,0.1529804,50,0,30,20,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.529792347991908,0.5297923,3.292022521679218,3.2920227,50,0.2,10,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.12612506416108873,0.12612507,1.9878587355980506,1.9878587,100,0.2,10,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.015076715154228386,0.015076715,2.478894441555708,2.4788945,100,0.2,100,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.11951267700642347,0.119512655,0.02298974793834182,0.022989746,20,0.2,10,50,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.0005701210412317542,0.0005701211,0.004910674658439791,0.004910675,20,0,10,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.01023281294921482,0.010232813,0.02050799906003074,0.020508,10,0,10,20,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,531.4954013400608,531.4955,3682.964540726099,3682.9639,10,0.2,100,128,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.013572539009705738,0.013572542,0.5357202821387312,0.5357202,20,0,30,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.00022115660249255598,0.00022115662,0.002507269504862145,0.0025072696,100,0,30,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.009910317103343981,0.009910317,0.21985890964667001,0.2198589,100,0.2,100,128,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.010754944653146796,0.010754945,0.03341631148344813,0.033416312,50,0,50,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.07701157695717281,0.077011585,1.7974920058861756,1.797492,100,0,50,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.01634288051562315,0.01634288,0.0458472948282575,0.045847293,10,0.2,100,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.00393264140692298,0.00393264,0.010958505107854039,0.010958505,10,0,100,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.03621978588678219,0.036219787,0.5342986117570828,0.5342986,100,0,50,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.04019030866523584,0.04019031,2.0228347778320312,2.0228348,300,0.2,100,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.421431457851496,0.4214314,0.6469508091417643,0.6469508,10,0.2,30,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,5.6783495214250355,5.6783495,6.71342134475708,6.7134213,300,0,50,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.10724273615137295,0.107242726,0.1866820962048876,0.18668208,10,0,100,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.0005315676616090867,0.00053156767,0.004166820552200079,0.0041668206,300,0,30,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.052143158184157476,0.05214316,0.012618465110277519,0.012618464,100,0,50,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.26291753103421933,0.2629176,1.5996105590691934,1.5996103,10,0.2,10,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,13.338881757524279,13.3388815,13.318745613098145,13.318746,300,0.2,50,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.02140690336279847,0.021406906,0.7093565129698851,0.7093565,50,0.2,30,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.00021766684302646253,0.00021766685,0.001451016403734684,0.0014510164,300,0,100,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.11641686658064525,0.11641687,0.6769434809684753,0.6769435,300,0,30,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.2635990689198176,0.2635991,110.23690394035134,110.236916,10,0,100,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.0003375101239523954,0.00033751014,0.00419257115572691,0.004192571,300,0,100,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.1518473247135127,0.15184733,0.1279342166888408,0.12793422,100,0,10,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.025304005586507694,0.025304008,0.042656074701927796,0.042656075,10,0,50,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,4.728199640909831,4.728199,1.56253182888031,1.5625318,300,0,10,20,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,90.0349731710222,90.03497,83.10203702633197,83.102036,10,0.2,100,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,2.1659285955958896,2.1659288,21.40682601928711,21.406826,300,0.2,100,50,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,14384.605034722223,14384.6045,5343.98974609375,5343.9897,300,0,10,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.017074264960225533,0.017074266,4.977233411027835,4.977234,10,0.2,50,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.014485795395793739,0.014485797,0.07493772204869832,0.07493772,100,0,10,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.027308163543542225,0.027308162,0.17045222222805023,0.17045222,300,0,100,20,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,10.979432044205842,10.979432,34.26616062262119,34.26616,100,0.2,50,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.0026077395615478356,0.0026077393,0.12153008035145318,0.12153008,20,0,100,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.05109163766933812,0.051091637,0.09485403887736492,0.094854034,50,0.2,10,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.0008329468238150218,0.0008329469,0.001978158702303727,0.0019781587,20,0.2,10,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.0006307958895275887,0.000630796,0.0014400382306820785,0.0014400383,10,0.2,10,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,54.95091304072627,54.95091,224.0612049591847,224.0612,100,0,10,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
