,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,30,0.18694303360055475,0.18694302439689636,0.6106511354446411,0.6106511354446411,300,0.2,30,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
1,10,0.0002769768862515989,0.000276976905297488,0.0015020569287105855,0.0015020568389445543,20,0.0,10,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
2,30,0.02868568726048312,0.028685687109827995,5.508539779897196,5.50853967666626,50,0.2,30,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
3,10,0.00039274800805929667,0.000392748013837263,0.0020520430765148387,0.0020520430989563465,20,0.2,10,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
4,100,0.0022501527620239787,0.0022501531057059765,0.11041873035930007,0.11041873693466187,50,0.0,100,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
5,100,0.005420993186228717,0.005420993082225323,0.009627966445881918,0.009627966210246086,20,0.0,100,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
6,50,0.003532068892929922,0.0035320688039064407,0.0391417481678437,0.03914174810051918,100,0.0,50,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
7,10,0.8776500053594217,0.8776499032974243,0.14032150679324046,0.1403215080499649,50,0.2,10,128,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
8,10,2.3062884439440334,2.306288480758667,96.24077339631965,96.24077606201172,100,0.2,10,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
9,50,0.00022174838528264766,0.00022174838522914797,0.001622565142902916,0.0016225649742409587,50,0.0,50,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,100,0.07775783448425286,0.0777578204870224,3.462920600570828,3.462921142578125,10,0.0,100,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
11,30,0.0079772612422376,0.007977261207997799,0.015823628506567104,0.01582362875342369,100,0.2,30,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
12,30,0.004929492167909355,0.004929492250084877,0.007241424173116684,0.007241424173116684,300,0.2,30,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
13,30,0.020136064404676503,0.020136063918471336,1.5265511940401721,1.5265512466430664,50,0.0,30,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
