short S&P500_unscaled,short S&P500_monthly,scale,short S&P500
0,13.0,0.13,0.0
0,13.0,0.13,0.0
100,13.0,0.13,13.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
87,25.0,0.25,21.75
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
84,25.0,0.25,21.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
100,25.0,0.25,25.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
100,19.0,0.19,19.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
81,19.0,0.19,15.39
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
85,19.0,0.19,16.15
88,19.0,0.19,16.72
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
80,19.0,0.19,15.2
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,19.0,0.19,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
100,24.0,0.24,24.0
0,24.0,0.24,0.0
90,24.0,0.24,21.599999999999998
87,24.0,0.24,20.88
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
87,24.0,0.24,20.88
0,24.0,0.24,0.0
0,24.0,0.24,0.0
99,24.0,0.24,23.759999999999998
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
100,46.0,0.46,46.0
0,46.0,0.46,0.0
84,46.0,0.46,38.64
86,46.0,0.46,39.56
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
84,46.0,0.46,38.64
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
91,46.0,0.46,41.86
0,46.0,0.46,0.0
0,46.0,0.46,0.0
85,46.0,0.46,39.1
0,46.0,0.46,0.0
0,46.0,0.46,0.0
86,46.0,0.46,39.56
89,46.0,0.46,40.940000000000005
0,46.0,0.46,0.0
0,46.0,0.46,0.0
84,46.0,0.46,38.64
0,46.0,0.46,0.0
0,46.0,0.46,0.0
85,46.0,0.46,39.1
89,46.0,0.46,40.940000000000005
0,24.0,0.24,0.0
0,24.0,0.24,0.0
99,24.0,0.24,23.759999999999998
0,24.0,0.24,0.0
0,24.0,0.24,0.0
100,24.0,0.24,24.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
95,24.0,0.24,22.8
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
93,24.0,0.24,22.32
96,24.0,0.24,23.04
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,24.0,0.24,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
83,31.0,0.31,25.73
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
100,31.0,0.31,31.0
0,31.0,0.31,0.0
83,31.0,0.31,25.73
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
95,31.0,0.31,29.45
0,31.0,0.31,0.0
82,31.0,0.31,25.419999999999998
0,31.0,0.31,0.0
95,12.0,0.12,11.4
93,12.0,0.12,11.16
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
84,12.0,0.12,10.08
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
100,12.0,0.12,12.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
86,12.0,0.12,10.32
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
94,12.0,0.12,11.28
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,12.0,0.12,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
100,27.0,0.27,27.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
49,27.0,0.27,13.23
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
41,27.0,0.27,11.07
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,20.0,0.2,0.0
