S&P500_unscaled,S&P500_monthly,scale,S&P500
17,17.0,0.17,2.89
40,17.0,0.17,6.800000000000001
40,17.0,0.17,6.800000000000001
55,17.0,0.17,9.350000000000001
42,17.0,0.17,7.140000000000001
36,17.0,0.17,6.12
17,17.0,0.17,2.89
16,17.0,0.17,2.72
54,17.0,0.17,9.180000000000001
40,17.0,0.17,6.800000000000001
41,17.0,0.17,6.970000000000001
57,17.0,0.17,9.690000000000001
29,17.0,0.17,4.930000000000001
0,17.0,0.17,0.0
40,17.0,0.17,6.800000000000001
100,17.0,0.17,17.0
94,17.0,0.17,15.98
53,17.0,0.17,9.01
68,17.0,0.17,11.56
56,17.0,0.17,9.520000000000001
32,17.0,0.17,5.44
31,17.0,0.17,5.2700000000000005
26,17.0,0.17,4.42
51,17.0,0.17,8.67
39,17.0,0.17,6.630000000000001
53,17.0,0.17,9.01
41,17.0,0.17,6.970000000000001
31,17.0,0.17,5.2700000000000005
37,18.0,0.18,6.66
16,18.0,0.18,2.88
35,18.0,0.18,6.3
20,18.0,0.18,3.5999999999999996
36,18.0,0.18,6.4799999999999995
27,18.0,0.18,4.859999999999999
12,18.0,0.18,2.16
24,18.0,0.18,4.32
30,18.0,0.18,5.3999999999999995
100,18.0,0.18,18.0
35,18.0,0.18,6.3
50,18.0,0.18,9.0
36,18.0,0.18,6.4799999999999995
36,18.0,0.18,6.4799999999999995
0,18.0,0.18,0.0
20,18.0,0.18,3.5999999999999996
45,18.0,0.18,8.1
50,18.0,0.18,9.0
35,18.0,0.18,6.3
26,18.0,0.18,4.68
30,18.0,0.18,5.3999999999999995
12,18.0,0.18,2.16
25,18.0,0.18,4.5
35,18.0,0.18,6.3
35,18.0,0.18,6.3
36,18.0,0.18,6.4799999999999995
42,18.0,0.18,7.56
18,18.0,0.18,3.2399999999999998
47,18.0,0.18,8.459999999999999
79,18.0,0.18,14.219999999999999
49,22.0,0.22,10.78
64,22.0,0.22,14.08
87,22.0,0.22,19.14
57,22.0,0.22,12.540000000000001
40,22.0,0.22,8.8
32,22.0,0.22,7.04
76,22.0,0.22,16.72
63,22.0,0.22,13.86
54,22.0,0.22,11.88
82,22.0,0.22,18.04
38,22.0,0.22,8.36
41,22.0,0.22,9.02
37,22.0,0.22,8.14
55,22.0,0.22,12.1
59,22.0,0.22,12.98
81,22.0,0.22,17.82
100,22.0,0.22,22.0
75,22.0,0.22,16.5
21,22.0,0.22,4.62
21,22.0,0.22,4.62
57,22.0,0.22,12.540000000000001
57,22.0,0.22,12.540000000000001
67,22.0,0.22,14.74
90,22.0,0.22,19.8
61,22.0,0.22,13.42
21,22.0,0.22,4.62
21,22.0,0.22,4.62
48,22.0,0.22,10.56
49,22.0,0.22,10.78
57,22.0,0.22,12.540000000000001
88,22.0,0.22,19.36
68,21.0,0.21,14.28
43,21.0,0.21,9.03
31,21.0,0.21,6.51
57,21.0,0.21,11.969999999999999
75,21.0,0.21,15.75
78,21.0,0.21,16.38
49,21.0,0.21,10.29
28,21.0,0.21,5.88
16,21.0,0.21,3.36
31,21.0,0.21,6.51
53,21.0,0.21,11.129999999999999
79,21.0,0.21,16.59
97,21.0,0.21,20.37
53,21.0,0.21,11.129999999999999
80,21.0,0.21,16.8
42,21.0,0.21,8.82
41,21.0,0.21,8.61
100,21.0,0.21,21.0
56,21.0,0.21,11.76
87,21.0,0.21,18.27
58,21.0,0.21,12.18
27,21.0,0.21,5.67
47,21.0,0.21,9.87
25,21.0,0.21,5.25
78,21.0,0.21,16.38
60,21.0,0.21,12.6
56,21.0,0.21,11.76
51,21.0,0.21,10.709999999999999
43,21.0,0.21,9.03
70,21.0,0.21,14.7
40,19.0,0.19,7.6
69,19.0,0.19,13.11
65,19.0,0.19,12.35
81,19.0,0.19,15.39
76,19.0,0.19,14.44
64,19.0,0.19,12.16
18,19.0,0.19,3.42
27,19.0,0.19,5.13
71,19.0,0.19,13.49
81,19.0,0.19,15.39
98,19.0,0.19,18.62
68,19.0,0.19,12.92
49,19.0,0.19,9.31
18,19.0,0.19,3.42
18,19.0,0.19,3.42
83,19.0,0.19,15.77
42,19.0,0.19,7.98
100,19.0,0.19,19.0
80,19.0,0.19,15.2
91,19.0,0.19,17.29
32,19.0,0.19,6.08
29,19.0,0.19,5.51
63,19.0,0.19,11.97
44,19.0,0.19,8.36
35,19.0,0.19,6.65
65,19.0,0.19,12.35
57,19.0,0.19,10.83
25,19.0,0.19,4.75
38,19.0,0.19,7.22
61,19.0,0.19,11.59
50,19.0,0.19,9.5
17,22.0,0.22,3.74
82,22.0,0.22,18.04
96,22.0,0.22,21.12
30,22.0,0.22,6.6
30,22.0,0.22,6.6
53,22.0,0.22,11.66
45,22.0,0.22,9.9
44,22.0,0.22,9.68
97,22.0,0.22,21.34
60,22.0,0.22,13.2
22,22.0,0.22,4.84
15,22.0,0.22,3.3
74,22.0,0.22,16.28
51,22.0,0.22,11.22
45,22.0,0.22,9.9
65,22.0,0.22,14.3
33,22.0,0.22,7.26
30,22.0,0.22,6.6
29,22.0,0.22,6.38
57,22.0,0.22,12.540000000000001
68,22.0,0.22,14.96
38,22.0,0.22,8.36
76,22.0,0.22,16.72
78,22.0,0.22,17.16
22,22.0,0.22,4.84
29,22.0,0.22,6.38
55,22.0,0.22,12.1
61,22.0,0.22,13.42
100,22.0,0.22,22.0
70,22.0,0.22,15.4
66,22.0,0.22,14.52
28,25.0,0.25,7.0
12,25.0,0.25,3.0
100,25.0,0.25,25.0
74,25.0,0.25,18.5
60,25.0,0.25,15.0
50,25.0,0.25,12.5
42,25.0,0.25,10.5
18,25.0,0.25,4.5
35,25.0,0.25,8.75
66,25.0,0.25,16.5
30,25.0,0.25,7.5
53,25.0,0.25,13.25
57,25.0,0.25,14.25
49,25.0,0.25,12.25
28,25.0,0.25,7.0
47,25.0,0.25,11.75
27,25.0,0.25,6.75
53,25.0,0.25,13.25
50,25.0,0.25,12.5
71,25.0,0.25,17.75
31,25.0,0.25,7.75
24,25.0,0.25,6.0
19,25.0,0.25,4.75
53,25.0,0.25,13.25
66,25.0,0.25,16.5
69,25.0,0.25,17.25
54,25.0,0.25,13.5
81,25.0,0.25,20.25
26,23.0,0.23,5.98
26,23.0,0.23,5.98
100,23.0,0.23,23.0
68,23.0,0.23,15.64
60,23.0,0.23,13.8
79,23.0,0.23,18.17
70,23.0,0.23,16.1
48,23.0,0.23,11.040000000000001
26,23.0,0.23,5.98
67,23.0,0.23,15.41
37,23.0,0.23,8.51
63,23.0,0.23,14.49
52,23.0,0.23,11.96
39,23.0,0.23,8.97
60,23.0,0.23,13.8
19,23.0,0.23,4.37
67,23.0,0.23,15.41
48,23.0,0.23,11.040000000000001
34,23.0,0.23,7.82
37,23.0,0.23,8.51
47,23.0,0.23,10.81
46,23.0,0.23,10.58
32,23.0,0.23,7.36
55,23.0,0.23,12.65
58,23.0,0.23,13.34
59,23.0,0.23,13.57
60,23.0,0.23,13.8
47,23.0,0.23,10.81
35,23.0,0.23,8.05
13,23.0,0.23,2.99
41,23.0,0.23,9.43
30,23.0,0.23,6.9
69,23.0,0.23,15.870000000000001
65,23.0,0.23,14.950000000000001
71,23.0,0.23,16.330000000000002
41,23.0,0.23,9.43
49,23.0,0.23,11.270000000000001
79,23.0,0.23,18.17
79,23.0,0.23,18.17
65,23.0,0.23,14.950000000000001
73,23.0,0.23,16.79
57,23.0,0.23,13.110000000000001
28,23.0,0.23,6.44
55,23.0,0.23,12.65
