S&P500_unscaled,S&P500_monthly,scale,S&P500
53,17.0,0.17,9.01
72,17.0,0.17,12.24
72,17.0,0.17,12.24
36,17.0,0.17,6.12
22,17.0,0.17,3.74
68,17.0,0.17,11.56
0,17.0,0.17,0.0
17,17.0,0.17,2.89
50,17.0,0.17,8.5
71,17.0,0.17,12.07
44,17.0,0.17,7.48
46,17.0,0.17,7.82
23,17.0,0.17,3.91
35,17.0,0.17,5.95
26,17.0,0.17,4.42
100,17.0,0.17,17.0
57,17.0,0.17,9.690000000000001
57,17.0,0.17,9.690000000000001
72,17.0,0.17,12.24
60,17.0,0.17,10.200000000000001
17,17.0,0.17,2.89
34,17.0,0.17,5.78
21,17.0,0.17,3.5700000000000003
41,17.0,0.17,6.970000000000001
55,17.0,0.17,9.350000000000001
42,17.0,0.17,7.140000000000001
73,17.0,0.17,12.41
50,17.0,0.17,8.5
47,16.0,0.16,7.5200000000000005
64,16.0,0.16,10.24
39,16.0,0.16,6.24
31,16.0,0.16,4.96
64,16.0,0.16,10.24
49,16.0,0.16,7.84
38,16.0,0.16,6.08
36,16.0,0.16,5.76
54,16.0,0.16,8.64
68,16.0,0.16,10.88
61,16.0,0.16,9.76
62,16.0,0.16,9.92
64,16.0,0.16,10.24
56,16.0,0.16,8.96
0,16.0,0.16,0.0
38,16.0,0.16,6.08
76,16.0,0.16,12.16
100,16.0,0.16,16.0
77,16.0,0.16,12.32
41,16.0,0.16,6.5600000000000005
55,16.0,0.16,8.8
36,16.0,0.16,5.76
54,16.0,0.16,8.64
30,16.0,0.16,4.8
69,16.0,0.16,11.040000000000001
47,16.0,0.16,7.5200000000000005
49,16.0,0.16,7.84
55,16.0,0.16,8.8
18,16.0,0.16,2.88
75,16.0,0.16,12.0
66,22.0,0.22,14.52
73,22.0,0.22,16.06
81,22.0,0.22,17.82
49,22.0,0.22,10.78
47,22.0,0.22,10.34
0,22.0,0.22,0.0
53,22.0,0.22,11.66
79,22.0,0.22,17.38
60,22.0,0.22,13.2
88,22.0,0.22,19.36
63,22.0,0.22,13.86
49,22.0,0.22,10.78
40,22.0,0.22,8.8
27,22.0,0.22,5.94
47,22.0,0.22,10.34
100,22.0,0.22,22.0
94,22.0,0.22,20.68
56,22.0,0.22,12.32
16,22.0,0.22,3.52
31,22.0,0.22,6.82
65,22.0,0.22,14.3
84,22.0,0.22,18.48
66,22.0,0.22,14.52
53,22.0,0.22,11.66
41,22.0,0.22,9.02
31,22.0,0.22,6.82
15,22.0,0.22,3.3
90,22.0,0.22,19.8
45,22.0,0.22,9.9
46,22.0,0.22,10.12
82,22.0,0.22,18.04
80,20.0,0.2,16.0
80,20.0,0.2,16.0
16,20.0,0.2,3.2
73,20.0,0.2,14.600000000000001
93,20.0,0.2,18.6
46,20.0,0.2,9.200000000000001
61,20.0,0.2,12.200000000000001
84,20.0,0.2,16.8
0,20.0,0.2,0.0
23,20.0,0.2,4.6000000000000005
53,20.0,0.2,10.600000000000001
73,20.0,0.2,14.600000000000001
100,20.0,0.2,20.0
94,20.0,0.2,18.8
70,20.0,0.2,14.0
40,20.0,0.2,8.0
61,20.0,0.2,12.200000000000001
72,20.0,0.2,14.4
52,20.0,0.2,10.4
86,20.0,0.2,17.2
53,20.0,0.2,10.600000000000001
41,20.0,0.2,8.200000000000001
39,20.0,0.2,7.800000000000001
15,20.0,0.2,3.0
59,20.0,0.2,11.8
65,20.0,0.2,13.0
86,20.0,0.2,17.2
42,20.0,0.2,8.4
35,20.0,0.2,7.0
55,20.0,0.2,11.0
57,15.0,0.15,8.549999999999999
57,15.0,0.15,8.549999999999999
75,15.0,0.15,11.25
100,15.0,0.15,15.0
94,15.0,0.15,14.1
89,15.0,0.15,13.35
20,15.0,0.15,3.0
40,15.0,0.15,6.0
67,15.0,0.15,10.049999999999999
76,15.0,0.15,11.4
84,15.0,0.15,12.6
43,15.0,0.15,6.45
46,15.0,0.15,6.8999999999999995
0,15.0,0.15,0.0
40,15.0,0.15,6.0
34,15.0,0.15,5.1
79,15.0,0.15,11.85
52,15.0,0.15,7.8
81,15.0,0.15,12.15
95,15.0,0.15,14.25
42,15.0,0.15,6.3
21,15.0,0.15,3.15
76,15.0,0.15,11.4
84,15.0,0.15,12.6
23,15.0,0.15,3.4499999999999997
58,15.0,0.15,8.7
47,15.0,0.15,7.05
52,15.0,0.15,7.8
41,15.0,0.15,6.1499999999999995
56,15.0,0.15,8.4
82,15.0,0.15,12.299999999999999
39,20.0,0.2,7.800000000000001
44,20.0,0.2,8.8
57,20.0,0.2,11.4
28,20.0,0.2,5.6000000000000005
21,20.0,0.2,4.2
48,20.0,0.2,9.600000000000001
59,20.0,0.2,11.8
59,20.0,0.2,11.8
59,20.0,0.2,11.8
49,20.0,0.2,9.8
21,20.0,0.2,4.2
13,20.0,0.2,2.6
52,20.0,0.2,10.4
87,20.0,0.2,17.400000000000002
29,20.0,0.2,5.800000000000001
24,20.0,0.2,4.800000000000001
43,20.0,0.2,8.6
49,20.0,0.2,9.8
