us economy bad_unscaled,us economy bad_monthly,scale,us economy bad
0,46.0,0.46,0.0
0,46.0,0.46,0.0
99,46.0,0.46,45.54
83,46.0,0.46,38.18
49,46.0,0.46,22.540000000000003
50,46.0,0.46,23.0
52,46.0,0.46,23.92
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
51,46.0,0.46,23.46
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
55,66.0,0.66,36.300000000000004
0,66.0,0.66,0.0
0,66.0,0.66,0.0
0,66.0,0.66,0.0
46,66.0,0.66,30.360000000000003
0,66.0,0.66,0.0
0,66.0,0.66,0.0
53,66.0,0.66,34.980000000000004
45,66.0,0.66,29.700000000000003
45,66.0,0.66,29.700000000000003
94,66.0,0.66,62.040000000000006
46,66.0,0.66,30.360000000000003
48,66.0,0.66,31.68
53,66.0,0.66,34.980000000000004
0,66.0,0.66,0.0
47,66.0,0.66,31.020000000000003
90,66.0,0.66,59.400000000000006
92,66.0,0.66,60.720000000000006
47,66.0,0.66,31.020000000000003
100,66.0,0.66,66.0
0,66.0,0.66,0.0
53,66.0,0.66,34.980000000000004
61,66.0,0.66,40.260000000000005
76,66.0,0.66,50.160000000000004
91,66.0,0.66,60.06
46,66.0,0.66,30.360000000000003
98,66.0,0.66,64.68
56,66.0,0.66,36.96
72,66.0,0.66,47.52
70,66.0,0.66,46.2
0,41.0,0.41,0.0
0,41.0,0.41,0.0
0,41.0,0.41,0.0
52,41.0,0.41,21.32
57,41.0,0.41,23.369999999999997
58,41.0,0.41,23.779999999999998
50,41.0,0.41,20.5
49,41.0,0.41,20.09
48,41.0,0.41,19.68
100,41.0,0.41,41.0
50,41.0,0.41,20.5
0,41.0,0.41,0.0
0,41.0,0.41,0.0
48,41.0,0.41,19.68
0,41.0,0.41,0.0
48,41.0,0.41,19.68
0,41.0,0.41,0.0
0,41.0,0.41,0.0
0,41.0,0.41,0.0
0,41.0,0.41,0.0
76,41.0,0.41,31.159999999999997
48,41.0,0.41,19.68
99,41.0,0.41,40.589999999999996
51,41.0,0.41,20.91
0,41.0,0.41,0.0
0,41.0,0.41,0.0
0,41.0,0.41,0.0
52,41.0,0.41,21.32
0,41.0,0.41,0.0
0,41.0,0.41,0.0
76,41.0,0.41,31.159999999999997
0,35.0,0.35,0.0
60,35.0,0.35,21.0
59,35.0,0.35,20.65
51,35.0,0.35,17.849999999999998
0,35.0,0.35,0.0
51,35.0,0.35,17.849999999999998
50,35.0,0.35,17.5
0,35.0,0.35,0.0
59,35.0,0.35,20.65
0,35.0,0.35,0.0
49,35.0,0.35,17.15
94,35.0,0.35,32.9
47,35.0,0.35,16.45
50,35.0,0.35,17.5
0,35.0,0.35,0.0
59,35.0,0.35,20.65
0,35.0,0.35,0.0
50,35.0,0.35,17.5
100,35.0,0.35,35.0
51,35.0,0.35,17.849999999999998
0,35.0,0.35,0.0
53,35.0,0.35,18.549999999999997
59,35.0,0.35,20.65
0,35.0,0.35,0.0
0,35.0,0.35,0.0
0,35.0,0.35,0.0
50,35.0,0.35,17.5
51,35.0,0.35,17.849999999999998
0,35.0,0.35,0.0
0,35.0,0.35,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
46,25.0,0.25,11.5
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
44,25.0,0.25,11.0
49,25.0,0.25,12.25
100,25.0,0.25,25.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
96,25.0,0.25,24.0
0,25.0,0.25,0.0
48,25.0,0.25,12.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
56,25.0,0.25,14.0
0,25.0,0.25,0.0
46,25.0,0.25,11.5
48,25.0,0.25,12.0
0,25.0,0.25,0.0
48,25.0,0.25,12.0
0,25.0,0.25,0.0
55,25.0,0.25,13.75
0,25.0,0.25,0.0
0,25.0,0.25,0.0
64,23.0,0.23,14.72
0,23.0,0.23,0.0
0,23.0,0.23,0.0
74,23.0,0.23,17.02
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
63,23.0,0.23,14.49
64,23.0,0.23,14.72
66,23.0,0.23,15.180000000000001
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
67,23.0,0.23,15.41
65,23.0,0.23,14.950000000000001
65,23.0,0.23,14.950000000000001
0,23.0,0.23,0.0
0,23.0,0.23,0.0
69,23.0,0.23,15.870000000000001
65,23.0,0.23,14.950000000000001
68,23.0,0.23,15.64
100,23.0,0.23,23.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
77,23.0,0.23,17.71
0,23.0,0.23,0.0
63,23.0,0.23,14.49
65,23.0,0.23,14.950000000000001
0,23.0,0.23,0.0
